Date,Open,High,Low,Close,Adj Close,Volume
2014-12-31,49.91,50.02,49.169998,49.27,44.401817,5109600
2015-01-02,49.299999,49.639998999999996,48.580002,48.970001,44.131454,6078100
2015-01-05,48.639998999999996,48.990002000000004,48.52,48.689999,43.87912,6900200
2015-01-06,49.0,49.650002,48.889998999999996,48.98,44.140469,7240000
2015-01-07,49.330002,50.029999,49.32,49.880001,44.951541999999996,5492500
2015-01-08,50.259997999999996,50.93,50.200001,50.720001,45.708549,4692600
2015-01-09,50.98,51.110001000000004,50.48,50.599998,45.600403,6480700
2015-01-12,50.790001000000004,51.200001,50.700001,50.919998,45.888779,6366200
2015-01-13,51.16,51.779999,50.91,51.32,46.24926,7461000
2015-01-14,51.0,51.75,50.75,51.73,46.61874,6235200
2015-01-15,51.73,52.849998,51.73,52.470001,47.285637,8102800
2015-01-16,52.349998,53.119999,52.32,53.049999,47.808323,10072200
2015-01-20,53.959998999999996,54.48,53.200001,53.830002,48.511261,6484700
2015-01-21,53.759997999999996,54.34,53.540001000000004,54.27,48.907787,5742700
2015-01-22,54.650002,54.689999,54.080002,54.66,49.259251,7169000
2015-01-23,54.68,54.709998999999996,54.18,54.189999,48.835678,6583600
2015-01-26,54.209998999999996,54.459998999999996,53.849998,54.439999,49.060986,6149600
2015-01-27,54.029999,54.77,54.0,54.560001,49.169132,5640200
2015-01-28,54.75,55.18,53.93,54.009997999999996,48.67347,6298200
2015-01-29,53.939999,54.549999,53.619999,54.389998999999996,49.015919,6468800
2015-01-30,54.060001,54.630001,53.0,53.099998,47.853386,9952300
2015-02-02,53.25,53.84,52.98,53.799999,48.484226,9183600
2015-02-03,53.830002,54.389998999999996,53.580002,54.259997999999996,48.898762,9729300
2015-02-04,54.18,54.630001,53.880001,54.029999,48.691494,8190500
2015-02-05,54.369999,54.400002,53.599998,53.669998,48.367062,8452200
2015-02-06,53.52,53.639998999999996,53.220001,53.330002,48.060660999999996,7731900
2015-02-09,53.16,53.490002000000004,52.91,53.16,47.907452,5816400
2015-02-10,53.5,53.84,53.369999,53.77,48.457188,4499800
2015-02-11,53.939999,54.84,53.790001000000004,54.759997999999996,49.349358,7889700
2015-02-12,54.810001,55.540001000000004,54.580002,55.540001000000004,50.052299,7249000
2015-02-13,55.490002000000004,55.580002,54.509997999999996,54.759997999999996,49.349358,5962900
2015-02-17,54.450001,55.310001,54.110001000000004,55.139998999999996,49.691814,7141300
2015-02-18,54.900002,55.240002000000004,54.779999,55.240002000000004,49.781937,4621100
2015-02-19,55.41,55.689999,55.09,55.48,49.998219,6332900
2015-02-20,55.43,55.700001,54.91,55.610001000000004,50.115383,6881500
2015-02-23,55.740002000000004,55.900002,55.470001,55.509997999999996,50.025257,5265700
2015-02-24,55.669998,55.889998999999996,55.349998,55.720001,50.214508,6439400
2015-02-25,55.810001,55.990002000000004,55.549999,55.639998999999996,50.142421999999996,5125100
2015-02-26,55.73,56.189999,55.599998,56.09,50.547955,4479600
2015-02-27,56.09,56.599998,55.950001,56.290001000000004,50.728188,4957900
2015-03-02,56.290001000000004,56.700001,56.240002000000004,56.5,50.917439,4931400
2015-03-03,56.5,56.68,56.07,56.459998999999996,50.881393,4428800
2015-03-04,56.27,56.389998999999996,55.66,55.790001000000004,50.277599,5458700
2015-03-05,56.040001000000004,56.09,55.32,55.5,50.016242999999996,5550800
2015-03-06,55.279999,55.32,53.200001,53.369999,48.096703000000005,12205000
2015-03-09,53.720001,53.950001,53.400002,53.830002,48.511261,6262500
2015-03-10,53.48,53.639998999999996,53.099998,53.200001,47.943501,5386300
2015-03-11,53.419998,53.48,52.060001,52.220001,47.060333,9012400
2015-03-12,52.09,52.389998999999996,51.93,52.009997999999996,47.342506,7941100
2015-03-13,51.93,51.950001,51.080002,51.389998999999996,46.778152,7955500
